epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,55774.7,0.81859,0.70561,0.9624,0.88835,0.73647,0.8257,0.67028,0.75355,0.62171,0.94145,0.0077428,0.0077428,0.0077428
116,56236.9,0.8115,0.69091,0.96389,0.90825,0.72759,0.83165,0.67668,0.75177,0.62471,0.94139,0.007723,0.007723,0.007723
117,56684.4,0.81639,0.69402,0.96207,0.9102,0.72411,0.81931,0.66631,0.74886,0.62112,0.94088,0.0077032,0.0077032,0.0077032
118,57160.4,0.81286,0.68808,0.96266,0.93768,0.71757,0.81712,0.66713,0.74809,0.62014,0.9407,0.0076834,0.0076834,0.0076834
119,57631.2,0.80861,0.68892,0.95971,0.93708,0.71713,0.81679,0.66079,0.74837,0.61791,0.94104,0.0076636,0.0076636,0.0076636
120,58160.7,0.80581,0.69061,0.96191,0.94209,0.71393,0.81858,0.66137,0.74922,0.62263,0.9413,0.0076438,0.0076438,0.0076438
121,58674.1,0.80302,0.68027,0.95778,0.9139,0.71455,0.81742,0.66045,0.74799,0.61772,0.94048,0.007624,0.007624,0.007624
122,59175.6,0.81048,0.68485,0.95902,0.90574,0.72378,0.83013,0.67371,0.74771,0.61624,0.93936,0.0076042,0.0076042,0.0076042
123,59685,0.80937,0.6881,0.95689,0.90843,0.72459,0.84023,0.68233,0.74809,0.61731,0.93918,0.0075844,0.0075844,0.0075844
124,60186.8,0.80036,0.67036,0.95705,0.8859,0.74204,0.84009,0.6805,0.74986,0.62747,0.94099,0.0075646,0.0075646,0.0075646
125,60665.6,0.8117,0.67598,0.96251,0.91065,0.72001,0.83048,0.67481,0.7495,0.6265,0.94079,0.0075448,0.0075448,0.0075448
126,61170.7,0.80147,0.68227,0.96541,0.90664,0.72486,0.83212,0.67593,0.74955,0.62153,0.94122,0.007525,0.007525,0.007525
127,61680.1,0.80235,0.67623,0.96291,0.90559,0.72738,0.83421,0.68097,0.74912,0.62009,0.94111,0.0075052,0.0075052,0.0075052
128,62199.1,0.79936,0.674,0.95764,0.85272,0.76895,0.83462,0.67691,0.74698,0.61518,0.94059,0.0074854,0.0074854,0.0074854
129,62657.3,0.79155,0.65014,0.95317,0.91202,0.72959,0.83602,0.67905,0.74438,0.61383,0.93952,0.0074656,0.0074656,0.0074656
130,63127.6,0.80086,0.65505,0.95804,0.89986,0.74867,0.84756,0.68802,0.7416,0.60835,0.93796,0.0074458,0.0074458,0.0074458
131,63603.3,0.80131,0.6563,0.95371,0.91106,0.73165,0.84772,0.68904,0.74178,0.60664,0.93775,0.007426,0.007426,0.007426
132,64110.7,0.79834,0.65832,0.95717,0.91124,0.73475,0.83489,0.67797,0.74288,0.60472,0.93762,0.0074062,0.0074062,0.0074062
133,64608.1,0.78818,0.65641,0.95555,0.9071,0.73868,0.84263,0.68909,0.74344,0.60549,0.93742,0.0073864,0.0073864,0.0073864
134,65116.8,0.79434,0.65451,0.95763,0.90934,0.73468,0.83813,0.68038,0.74448,0.60459,0.9366,0.0073666,0.0073666,0.0073666
135,65608.8,0.79109,0.65377,0.95576,0.91359,0.73162,0.83149,0.67478,0.74292,0.60212,0.93619,0.0073468,0.0073468,0.0073468
136,66100.1,0.7955,0.64809,0.95601,0.92794,0.73259,0.82667,0.67197,0.74302,0.60285,0.93596,0.007327,0.007327,0.007327
137,66556.4,0.78374,0.64936,0.95421,0.93623,0.73036,0.83882,0.68254,0.74265,0.60096,0.93568,0.0073072,0.0073072,0.0073072
138,67029.5,0.79415,0.65306,0.95588,0.87389,0.7589,0.83895,0.68477,0.74101,0.59826,0.93517,0.0072874,0.0072874,0.0072874
139,67498.4,0.78947,0.65117,0.95285,0.89902,0.75767,0.84782,0.68593,0.73957,0.59655,0.93523,0.0072676,0.0072676,0.0072676
140,67982.5,0.77793,0.63854,0.95132,0.91328,0.75236,0.84811,0.68459,0.73861,0.59984,0.93525,0.0072478,0.0072478,0.0072478
141,68467.1,0.79322,0.64445,0.95392,0.9171,0.74789,0.8475,0.68369,0.7394,0.59752,0.93564,0.007228,0.007228,0.007228
142,68974.9,0.79155,0.64467,0.95541,0.91941,0.7462,0.84883,0.6844,0.74035,0.59955,0.93534,0.0072082,0.0072082,0.0072082
143,69463.6,0.78784,0.63299,0.95511,0.90949,0.75062,0.84904,0.68645,0.74025,0.59922,0.93552,0.0071884,0.0071884,0.0071884
